product_id,store_id,order_date,selling_price,customer_id,order_id
P0665,S0103,10/11/2022,2172,1111120381,1111111111
P0690,S0056,8/17/2022,1575,1111118657,1111111112
P0067,S0087,12/7/2021,1066,1111119332,1111111113
P0333,S0074,5/16/2021,1534,1111121108,1111111114
P0427,S0063,12/7/2023,1416,1111121332,1111111115
P0372,S0120,9/27/2022,3191,1111111493,1111111116
P0083,S0094,10/28/2022,779,1111121195,1111111117
P0377,S0102,7/11/2020,1651,1111121484,1111111118
P0536,S0113,10/26/2023,1575,1111120597,1111111119
P0261,S0024,7/27/2021,2950,1111114091,1111111120
P0611,S0126,11/11/2023,3948,1111118384,1111111121
P0408,S0002,4/22/2020,4051,1111112934,1111111122
P0660,S0144,8/2/2021,1059,1111116496,1111111123
P0602,S0060,12/16/2022,1505,1111120235,1111111124
P0165,S0126,6/16/2021,3756,1111115425,1111111125
P0640,S0117,8/16/2022,1575,1111117453,1111111126
P0267,S0094,8/6/2023,3145,1111118299,1111111127
P0277,S0138,8/26/2023,4731,1111114945,1111111128
P0287,S0105,6/26/2022,2691,1111112571,1111111129
P0229,S0026,11/16/2022,3383,1111119305,1111111130
P0204,S0043,6/28/2020,1944,1111112136,1111111131
P0134,S0082,8/14/2021,2508,1111113897,1111111132
P0109,S0050,6/28/2020,3008,1111111628,1111111133
P0229,S0085,12/11/2023,4131,1111114550,1111111134
P0400,S0027,3/11/2021,2433,1111114958,1111111135
P0412,S0122,5/14/2023,2383,1111119174,1111111136
P0412,S0082,11/21/2022,4418,1111112922,1111111137
P0280,S0004,10/30/2023,2035,1111114166,1111111138
P0490,S0002,2/5/2023,2774,1111117538,1111111139
P0658,S0083,6/17/2022,1092,1111117065,1111111140
P0747,S0108,5/21/2022,4201,1111117874,1111111141
P0297,S0073,8/22/2022,3147,1111121716,1111111142
P0103,S0139,6/8/2021,4760,1111117774,1111111143
P0402,S0110,6/7/2021,2775,1111119332,1111111144
P0481,S0113,4/23/2021,3576,1111119932,1111111145
P0226,S0062,8/31/2021,4038,1111113866,1111111146
P0370,S0043,6/28/2021,964,1111121765,1111111147
P0147,S0045,11/18/2022,480,1111118329,1111111148
P0483,S0078,7/4/2020,3462,1111112429,1111111149
P0500,S0043,10/5/2021,1463,1111114534,1111111151
P0283,S0049,8/20/2020,4996,1111111445,1111111152
